customer_id,risk_factor,trigger_amt,profile_mean,profile_std,z_score,age,pair_total,in_amt,out_amt,ratio,max_rolling_3d,max_rolling_5d,max_rolling_7d,max_rolling_10d,max_rolling_14d,days_observed,days_required,time_window,daily_floor,daily_ceiling,txn_count,floor_current,is_sar,smart_segment_id,customer_type
03091056-f3d8-41f4-b2e9-83218b11445c,Activity Deviation (ACH),7802202.0,1551662.0,0.0,,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
c2bdf08b-84e3-4f7b-8ee1-a72c3c7c8432,Activity Deviation (ACH),7774894.0,489786.5,192509.51,37.843,,,,,,,,,,,,,,,,,,1,1,INDIVIDUAL
3c553006-3e57-41d8-87a4-d04ecf1da7a1,Activity Deviation (ACH),7774894.0,489786.5,192509.51,37.843,,,,,,,,,,,,,,,,,,1,1,INDIVIDUAL
0bf49f1f-9d3a-4421-a6f0-808d01ca4e81,Activity Deviation (ACH),7566992.0,1041589.5,912240.16,7.153,,,,,,,,,,,,,,,,,,1,1,INDIVIDUAL
c1b6a27b-c55a-43ef-bb61-49b3192900f4,Activity Deviation (ACH),7566992.0,1041589.5,912240.16,7.153,,,,,,,,,,,,,,,,,,1,1,INDIVIDUAL
a8853094-f94a-4885-89cc-3c5adc511a95,Activity Deviation (ACH),6747034.0,522040.0,741557.46,8.394,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
91dff6cf-6d5b-4b18-bd84-1384047845f1,Activity Deviation (ACH),6424795.0,685682.2,828334.5,6.928,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
aee74e97-ad06-456b-805d-b183e46dc1f7,Activity Deviation (ACH),5947436.0,239738.0,150956.2,37.81,,,,,,,,,,,,,,,,,,1,1,INDIVIDUAL
a74dbf7b-69ce-4f8d-b010-69d659aa8857,Activity Deviation (ACH),5947436.0,430733.25,401340.04,13.746,,,,,,,,,,,,,,,,,,1,1,INDIVIDUAL
50778cbd-6a33-444a-adec-2256f9208a4c,Activity Deviation (ACH),5670032.0,420204.8,466594.31,11.251,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
b4041968-ffc3-47f2-9b00-73cbba4ea398,Activity Deviation (ACH),5414472.0,1066279.33,911125.21,4.772,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
ccfdc87b-1105-41b9-918c-aa162bc9e733,Activity Deviation (ACH),5414472.0,1066279.33,911125.21,4.772,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
0cbad885-7c9d-494d-ae77-a18b40034c47,Activity Deviation (ACH),5312990.0,171222.67,210610.65,24.414,,,,,,,,,,,,,,,,,,1,1,INDIVIDUAL
a8288a78-f692-41d2-b15f-b63a6accac2a,Activity Deviation (ACH),5312990.0,459241.43,335269.18,14.477,,,,,,,,,,,,,,,,,,1,1,INDIVIDUAL
2d06a2ee-9d6f-45b6-8603-bf4d9df88fd0,Activity Deviation (ACH),5153685.0,570843.3,855702.45,5.356,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
34936885-e8d2-4a04-bda9-718e7d4c3807,Activity Deviation (ACH),5101843.0,209247.75,276866.7,17.671,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
d7f8b57e-b27d-4344-84e1-4dae37d8697e,Activity Deviation (ACH),4896609.0,276399.83,326971.04,14.13,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
13f8adba-4537-402b-816e-925c8586a171,Activity Deviation (ACH),4858978.0,717010.33,1039544.46,3.984,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
2a201b71-eae0-4a1f-8c6c-cfbc68b9387d,Activity Deviation (ACH),4788094.0,346478.0,259856.78,17.093,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
57aea156-0adb-4df9-9212-67e3194dcd43,Activity Deviation (ACH),4788094.0,625120.33,967985.1,4.301,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
bf596d99-d029-42e0-8ec5-f8c6a8502dd8,Activity Deviation (ACH),4552449.0,613548.75,957449.9,4.114,,,,,,,,,,,,,,,,,,1,0,BUSINESS
4438a36d-85ec-4365-b9e7-944262eb550b,Activity Deviation (ACH),4552449.0,613548.75,957449.9,4.114,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
5473276a-91bc-485c-8d6d-1c4f72021df8,Activity Deviation (ACH),4552449.0,613548.75,957449.9,4.114,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
1f27fcf5-9c2e-44de-8778-4dc15dedf30f,Activity Deviation (Check),4489788.0,364779.33,414996.0,9.94,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
4c0e40ff-a3b4-434d-a435-b298b3cb2235,Activity Deviation (ACH),4347102.0,390196.33,417943.01,9.468,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
e6c03685-2563-4a0b-a1f3-b4730f963225,Activity Deviation (ACH),4347102.0,390196.33,417943.01,9.468,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
d86ed2fc-1318-490e-aef2-bebb9f3cc15d,Activity Deviation (ACH),4251583.0,50265.5,71083.32,59.104,,,,,,,,,,,,,,,,,,1,0,BUSINESS
b0e65792-bd3e-49b2-9640-09b94be9019e,Activity Deviation (ACH),4251583.0,308454.14,344389.77,11.45,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
4d64defa-b63c-499d-b0bb-38ae19ad7ee0,Activity Deviation (ACH),4250939.0,208992.8,243747.22,16.583,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
154b2699-ecbd-43aa-9c51-6b0e1f0bc4f2,Activity Deviation (ACH),4190394.0,531766.0,1015218.64,3.604,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
68a7e346-262f-4eed-8a4a-e57d3fed3b00,Activity Deviation (ACH),4104386.0,574541.75,542404.41,6.508,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
f023d874-d353-494c-a5d3-d7f983e42101,Activity Deviation (ACH),4104386.0,574541.75,542404.41,6.508,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
face7f17-201f-42ef-bf83-bec3a9661cc2,Activity Deviation (ACH),4039430.0,884090.75,321356.95,9.819,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
789e2fad-daab-48c8-bcba-d5c16e604712,Activity Deviation (ACH),4039430.0,884090.75,321356.95,9.819,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
874ee7d0-4b22-4510-86ec-5f7e7979ee68,Activity Deviation (ACH),4019452.0,335666.67,246212.58,14.962,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
85e677d8-c3c3-4c2e-ba87-6048e7fa7389,Activity Deviation (ACH),4001831.0,608052.67,680469.64,4.987,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
95f2a521-e341-4797-b453-634fdc49a68a,Activity Deviation (Check),3996806.0,339616.5,432966.43,8.447,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
cb0957f1-1772-4076-a3ab-be8b94774431,Activity Deviation (ACH),3985776.0,1127355.0,0.0,,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
bc22ca47-4408-424e-bb9c-2b8d4ecf5702,Activity Deviation (ACH),3956157.0,425355.6,559953.29,6.306,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
ac9a16d1-b7ad-4bcd-9357-697531f80bc3,Activity Deviation (ACH),3955886.0,544223.2,1039994.77,3.28,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
9f36bd06-f3a3-4c94-8939-e5014688cbf1,Activity Deviation (ACH),3913749.0,306540.0,327663.75,11.009,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
000a3e6b-d732-4967-aab8-af5d2c1f8980,Activity Deviation (ACH),3913749.0,306540.0,327663.75,11.009,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
56278006-2d17-41ec-87a7-7454d0f8e6c4,Activity Deviation (ACH),3905704.0,809266.0,812178.11,3.813,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
812f8b65-db69-4540-b25f-81877b12ef76,Activity Deviation (ACH),3905704.0,809266.0,812178.11,3.813,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
d14f3f2b-65ef-48da-aeca-24c59d1150a1,Activity Deviation (ACH),3862974.0,51026.8,97260.18,39.193,,,,,,,,,,,,,,,,,,1,1,INDIVIDUAL
3e4a30e2-cd76-4179-899a-2bc2d531c217,Activity Deviation (ACH),3862974.0,110760.0,170223.28,22.043,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
c476f3a4-e4fe-4328-aa02-5e48130977e0,Activity Deviation (ACH),3849118.0,836895.4,546767.72,5.509,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
8bf581cf-2e7c-4ee4-a16e-e80c270b713b,Activity Deviation (ACH),3849118.0,836895.4,546767.72,5.509,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
d88b1d10-7656-433a-8860-8c03195ac03e,Activity Deviation (ACH),3836216.0,709999.0,651454.43,4.799,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
3072b190-816c-4269-89b8-38a05b8ea4b5,Activity Deviation (ACH),3829546.0,630791.83,700065.92,4.569,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
75cb5a12-c750-40cc-a726-a3e55fedc771,Activity Deviation (Check),3809674.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,1,INDIVIDUAL
45cdf5b3-6dd2-4fa6-9c20-66cabd7c368b,Activity Deviation (ACH),3804080.0,247203.75,346864.74,10.254,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
2fad09da-96dd-49b6-8372-cce5e119c57b,Activity Deviation (ACH),3804080.0,247203.75,346864.74,10.254,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
df0d487f-c292-4876-8445-dd9f9a4681f9,Activity Deviation (ACH),3759456.0,575391.0,808354.57,3.939,,,,,,,,,,,,,,,,,,1,1,INDIVIDUAL
4e85c0f3-c77a-4882-a40b-f0c25e1b5de1,Activity Deviation (ACH),3743775.0,552497.1,632897.02,5.042,,,,,,,,,,,,,,,,,,1,1,INDIVIDUAL
d2ff4484-bc22-46dd-a436-885112b6f62f,Activity Deviation (ACH),3727479.0,480340.5,448733.33,7.236,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
0ea9ee12-dd66-48ef-86c5-7c5381c6a399,Activity Deviation (ACH),3727479.0,480340.5,448733.33,7.236,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
a79dd178-9213-444e-8cf6-12337d1f11fc,Activity Deviation (Check),3722967.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,1,INDIVIDUAL
6be6d47f-2608-47d7-aab4-ebfaa0bcfecd,Activity Deviation (Check),3722967.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,1,INDIVIDUAL
77bcdb96-ff6c-47d6-9cb1-524537176a5e,Activity Deviation (Check),3722967.0,326904.0,519240.45,6.54,,,,,,,,,,,,,,,,,,1,1,INDIVIDUAL
2a9d0cd4-ce90-4ce7-8e49-3314b1d1e749,Activity Deviation (ACH),3712776.0,277277.8,246670.74,13.927,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
792b21a4-ca81-4edb-b004-18368291c30f,Activity Deviation (ACH),3712124.0,446646.86,418909.24,7.795,,,,,,,,,,,,,,,,,,1,1,INDIVIDUAL
4549c5b3-46c2-469d-8edd-05a72a0e2024,Activity Deviation (Check),3702007.0,415919.71,587875.59,5.59,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
48105bed-282f-45f8-8558-a22f8e7ab069,Activity Deviation (ACH),3689464.0,822548.67,683321.86,4.196,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
7e0b0a1e-9c1f-49e7-afbe-aaf918d4416c,Activity Deviation (ACH),3682764.0,580603.75,500727.21,6.195,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
afe8ba1d-aa83-43d9-ae61-7c43d233ef0f,Activity Deviation (ACH),3680778.0,964818.8,904685.15,3.002,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
c309dbaf-3f56-4113-89e9-a52aaf30722f,Activity Deviation (ACH),3657542.0,1669118.0,0.0,,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
630a6f39-b168-4230-b65e-eae790043162,Activity Deviation (ACH),3612216.0,895935.0,869789.68,3.123,,,,,,,,,,,,,,,,,,0,1,INDIVIDUAL
f9df95a9-4491-449d-ac2f-f7d3ec496df5,Activity Deviation (ACH),3591916.0,655842.67,902641.4,3.253,,,,,,,,,,,,,,,,,,1,1,INDIVIDUAL
